district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page,assessment_unit_id,matched_taluka_in_db,match_score,status
HINGOLI,HINGOLI,94832.0,14971.9,5376.9,35.9,safe,205,a817f410-9189-4910-a77d-12ad726173ea,HINGOLI,1.0,matched
HINGOLI,KALMNURI,94891.0,17575.3,8300.7,47.2,safe,205,df539440-3c7b-4143-af58-714e23ce5efb,KALAMNURI,0.941,matched
HINGOLI,SENGAON,118121.0,16193.1,6672.9,41.2,safe,205,0e53460f-d1b6-4397-a0ec-6fecd6b00299,Sengaon,1.0,matched
JALGAON,BHUSAWAL,53818.0,5800.2,4489.2,77.4,semi_critical,205,cd3e9a85-1e10-402f-b735-d1a6d82d12e2,BHUSAWAL,1.0,matched
JALGAON,AMALNER,89266.0,11980.0,8542.5,71.3,semi_critical,205,57b3fe42-8318-4ca8-8e7b-93e09078edd8,AMALNER,1.0,matched
JALGAON,BHADGAON,49142.0,10055.8,7993.4,79.5,semi_critical,205,c3640b70-6587-403b-a1e0-5855ec96e8cf,BHADGAON,1.0,matched
JALGAON,BODWAD,35669.0,3912.8,3038.2,77.6,semi_critical,205,c20f0e40-1b24-4465-907b-d6bd7a395c50,CHOPDA,0.5,review
JALGAON,CHALISGAON,103335.0,14149.9,10740.3,75.9,semi_critical,205,8c4e6279-8c43-4f47-9cc1-2d6459d6462c,CHALISGAON,1.0,matched
JALGAON,CHOPDA,110180.0,11088.3,9201.6,83.0,semi_critical,205,c20f0e40-1b24-4465-907b-d6bd7a395c50,CHOPDA,1.0,matched
JALGAON,DHARANGAON,45418.0,8005.2,4390.4,54.8,safe,205,3c4d56aa-ae6d-4674-9672-9db695bb1899,Dharangaon,1.0,matched
JALGAON,ERANDOL,49177.0,6949.4,4731.3,68.1,safe,205,ac3efb41-53fd-4925-8e49-67a481df59c5,ERANDOL,1.0,matched
JALGAON,JALGAON,83198.0,8539.2,4648.1,54.4,safe,205,8c4e6279-8c43-4f47-9cc1-2d6459d6462c,CHALISGAON,0.706,review
JALGAON,JAMNER,126843.0,12825.2,9115.4,71.1,semi_critical,205,57b3fe42-8318-4ca8-8e7b-93e09078edd8,AMALNER,0.769,review
JALGAON,MUKTAINAGAR,63392.0,5501.2,4076.7,74.1,semi_critical,205,,no taluka candidate above cutoff,0.0,unmatched
JALGAON,PACHORA,79609.0,10380.6,7621.4,73.4,semi_critical,205,7556bc86-4763-4fc6-836f-799cc593ae8e,PACHORA,1.0,matched
JALGAON,PAROLA,71160.0,7550.7,6209.1,82.2,semi_critical,205,a88b563b-eb1d-4703-b43b-95d3b4932777,PAROLA,1.0,matched
JALGAON,RAVER,93907.0,9926.6,12550.5,126.4,over_exploited,205,1ab2990d-6911-4491-8aa2-59bacfae23ae,RAVER,1.0,matched
JALGAON,YAWAL,83769.0,8319.7,8963.7,107.7,over_exploited,205,b4102a09-8348-46be-a91f-0aaafca2d180,YAWAL,1.0,matched
JALNA,JALNA,123892.2,10824.4,6997.0,64.6,safe,205,82d11f4c-9d23-4179-a816-5da044e16f96,JALNA,1.0,matched
JALNA,AMBAD,110885.0,9536.7,4064.6,42.6,safe,206,03ccc35c-5d18-4afd-91f9-3d7e369b8d30,AMBAD,1.0,matched
JALNA,BADNAPUR,53430.7,5670.7,3643.6,64.3,safe,206,a5477158-f057-403d-bda7-e2bc1c6cb4ed,Badnapur,1.0,matched
JALNA,BHOKARDAN,127316.3,13201.5,7924.5,60.0,safe,206,1f67ca7d-517c-44f7-98cb-0bb5ac98578a,BHOKARDAN,1.0,matched
JALNA,GHAT SAWANGI,108967.0,13855.4,8074.2,58.3,safe,206,d5dc7125-4ec4-48ef-8c27-6df92a100d76,Ghansavangi,1.0,matched
JALNA,JAFRABAD,69380.5,8000.7,4680.1,58.5,safe,206,3219c85e-fd18-435a-bdc7-5dedb019a16d,JAFFERABAD,1.0,matched
JALNA,MANTHA,80364.4,7976.1,3603.9,45.2,safe,206,ceca7505-3ab1-4c5a-8955-fe90116ef2ab,Mantha,1.0,matched
JALNA,PARTUR,97564.0,10900.4,4876.0,44.7,safe,206,,no taluka candidate above cutoff,0.0,unmatched
KOLHAPUR,AJARA,40265.2,7897.8,3582.5,45.4,safe,206,31f92911-c069-4080-8940-4b3d8457fb1d,AJRA,1.0,matched
KOLHAPUR,BHUDARGAD,50035.3,6853.2,3009.6,43.9,safe,206,6664deb8-57be-434e-8382-a2775f09c01b,BHUDARGAD,1.0,matched
KOLHAPUR,CHANDGAD,75071.0,16201.0,7541.0,46.5,safe,206,2954d643-f4ec-49f1-938e-87f40ef5475c,CHANDGAD,1.0,matched
KOLHAPUR,GADHINGLAJ,47755.1,11878.7,7131.1,60.0,safe,206,6dcf4007-6513-40dc-be3c-a0d93e169e7d,GADHINGLAJ,1.0,matched
KOLHAPUR,GAGANBAWADA,12218.7,3822.7,756.2,19.8,safe,206,5be89ccf-a405-4adf-9faf-b32e9e882f00,BAVDA,0.5,review
KOLHAPUR,HATKANANGALE,57309.0,11132.1,6295.9,56.6,safe,206,f12ef5b6-b428-48bf-a2a1-7e7127eb409d,HATKANANGALE,1.0,matched
KOLHAPUR,KAGAL,55651.7,12733.1,5175.6,40.6,safe,206,fef11733-5cc6-425a-876f-87f8c2fb1c89,KAGAL,1.0,matched
KOLHAPUR,KARVIR,49221.0,13009.7,5356.2,41.2,safe,206,12fad2d5-c1e2-442a-a4cd-64729b3a9b88,KARVIR,1.0,matched
KOLHAPUR,PANHALA,39428.6,10062.8,4492.9,44.6,safe,206,060f6bab-4cfb-4528-be9b-92c2cb8214c5,PANHALA,1.0,matched
KOLHAPUR,SHAHUWADI,34785.7,7484.4,1878.2,25.1,safe,206,3e70f959-4717-4ab5-91b0-9312d634ab7f,SHAHUWADI,1.0,matched
KOLHAPUR,SHIROL,53273.0,10822.6,4170.3,38.5,safe,206,6697b6e6-1dbe-4593-b9bc-1cacf10a7d4f,SHIROL,1.0,matched
KOLHAPUR,RADHANAGARI,47161.8,15887.6,4857.1,30.6,safe,206,a0dae873-ae1e-47aa-b67e-2c495e9b8ac7,RADHANAGARI,1.0,matched
LATUR,AHMEDPUR,91041.0,8359.4,3918.8,46.9,safe,206,b92d40df-9be9-4cbd-a5f1-e489782d971d,RENAPUR,0.533,review
LATUR,ANANTPAL SH,17789.0,1810.9,889.6,49.1,safe,206,e534586a-4fb5-420e-aaf9-7ed8bfa9382b,SHIRUR-ANANTPAL,0.615,review
LATUR,AUSA,116191.0,13988.5,6748.9,48.2,safe,206,23ec8ac7-8c1a-44ef-948a-7f523f228071,AUSA,1.0,matched
LATUR,CHAKUR,47981.0,4443.6,2783.5,62.6,safe,206,b49449f6-6259-431f-81d4-5c3beaf83470,Chakur,1.0,matched
LATUR,DEVANI,25576.0,2282.0,993.0,43.5,safe,206,952f2bc4-7ee7-4e5d-9510-578e14f24797,Deoni,1.0,matched
LATUR,JALKOT,19867.0,1762.7,702.5,39.9,safe,207,74e709e6-74a8-4c50-935a-a66eb76b4781,Jalkot,1.0,matched
LATUR,LATUR,91073.0,9821.5,6944.2,70.7,semi_critical,207,c55d44bd-2038-442e-8594-332a734a6409,LATUR,1.0,matched
LATUR,NILANGA,120705.0,11437.4,6577.0,57.5,safe,207,44b8f17b-b4f0-4e71-9639-a09370b2580d,NILANGA,1.0,matched
LATUR,RENAPUR,46992.0,4274.4,2808.0,65.7,safe,207,b92d40df-9be9-4cbd-a5f1-e489782d971d,RENAPUR,1.0,matched
LATUR,UDGIR,86333.0,7364.7,3607.5,49.0,safe,207,fb9f0faa-0966-4331-8733-05e5e4d423b0,UDGIR,1.0,matched
NAGPUR,MOUDA,75358.0,10620.1,2940.5,27.7,safe,207,6677d29d-a674-4074-963f-6739509495e7,MOUDA,1.0,matched
NAGPUR,BHIWAPUR,55765.0,4029.5,2124.8,52.7,safe,207,feec0124-a11e-4657-a74a-90091abe3087,BHIWAPUR,1.0,matched
NAGPUR,HINGANA,63414.0,7585.6,3607.6,47.6,safe,207,,no taluka candidate above cutoff,0.0,unmatched
NAGPUR,KALAMESHWAR,47112.0,6746.2,3924.3,58.2,safe,207,122a0518-c2b4-46ca-a92e-8e0d24ec952c,KALAMESHWAR,1.0,matched
NAGPUR,KAMTEE,53604.0,7668.6,3192.7,41.6,safe,207,01cce1ee-3bbf-4691-b07b-b064ae255559,KAMPTEE,0.923,matched
NAGPUR,KATOL,55293.0,8775.4,6210.0,70.8,semi_critical,207,75679328-e85d-4ed3-be69-0aa64e0b007b,KATOL,1.0,matched
NAGPUR,KUHI,74997.0,6532.5,3792.6,58.1,safe,207,52ba0bfe-30c8-40ff-8906-69f7a307613d,KUHI,1.0,matched
NAGPUR,NAGPUR,53525.0,6042.4,2810.9,46.5,safe,207,341b6fd4-c0c0-4baa-9070-2e7cda0a3c40,NAGPUR (RURAL),1.0,matched
NAGPUR,NARKHED,64323.0,9357.9,6027.8,64.4,safe,207,e87b73a6-43ee-4a62-80c1-0d945a5b176c,NARKHED,1.0,matched
NAGPUR,PARSHIONI,53651.0,7412.2,2708.2,36.5,safe,207,952b5312-e89b-423c-86f6-a8184ea82793,Parshioni,1.0,matched
